CustomerID,Recency,Tenure,Frequency,Monetary,AvgBasket,DistinctProducts,DistinctCountries,Churned
12346,235,635,12,971.9,28.58529411764706,27,1,1
12347,39,313,6,3402.3900000000003,20.74628048780488,107,1,0
12348,158,347,4,1709.4,35.612500000000004,25,1,0
12349,317,498,3,2671.14,26.18764705882353,90,1,0
12350,219,219,1,334.4,19.670588235294115,17,1,1
12351,284,284,1,300.93,14.33,21,1,1
12352,171,302,7,1905.61,34.028749999999995,38,1,0
12353,113,318,2,406.76,16.948333333333334,23,1,1
12354,141,141,1,1079.4,18.610344827586207,58,1,1
12355,123,477,2,947.61,27.074571428571428,35,1,1
12356,155,334,5,6313.38,45.09557142857143,104,1,0
12357,297,298,2,12079.99,73.2120606060606,165,1,0
12358,60,641,4,3203.87,45.769571428571425,56,1,0
12359,99,643,9,6059.09,23.304192307692308,230,1,0
12360,22,565,7,3209.11,19.687791411042944,123,1,0
12361,196,591,4,511.25,17.629310344827587,18,1,1
12362,29,648,5,1877.35,17.710849056603774,89,1,0
12363,19,151,2,552.0,24.0,23,1,1
12364,21,21,1,623.92,18.350588235294115,34,1,0
12365,200,200,2,641.38,29.153636363636362,22,1,1
12366,543,543,1,500.24,166.74666666666667,3,1,1
12368,537,537,1,917.6999999999999,50.98333333333333,18,1,1
12369,322,551,3,1791.15,19.25967741935484,90,1,1
12370,184,578,6,3577.28,20.67791907514451,150,2,0
12371,318,554,3,2179.42,20.95596153846154,91,1,0
12372,122,206,2,914.9200000000001,23.45948717948718,32,1,0
12373,220,583,3,1127.65,22.110784313725492,36,1,1
12374,330,497,3,2246.29,44.9258,47,1,0
12375,7,7,1,230.3,20.936363636363637,11,1,0
12376,299,327,2,503.15,38.70384615384615,11,1,1
12377,224,498,4,3426.32,22.54157894736842,129,1,1
12378,39,471,2,5416.32,17.994418604651162,281,1,1
12379,79,444,3,1227.82,20.128196721311475,50,1,0
12380,95,572,8,7559.04,36.16765550239234,125,1,0
12381,29,29,1,1268.74,20.463548387096775,62,1,0
12383,94,261,5,1850.56,18.69252525252525,84,1,1
12384,31,31,1,292.69,20.90642857142857,14,1,0
12385,288,288,1,1938.4,29.821538461538463,65,1,1
12386,247,276,2,401.9,40.19,10,1,1
12387,324,324,1,143.94,15.993333333333332,9,1,1
12388,57,491,6,2788.79,24.041293103448275,77,1,0
12389,312,565,3,1433.33,29.251632653061222,41,1,1
12391,374,572,5,2285.18,13.133218390804597,159,1,0
12392,500,500,1,234.75000000000003,33.53571428571429,7,1,1
12393,155,337,5,1877.95,22.901829268292683,53,1,0
12394,126,126,1,381.08,18.146666666666665,21,1,0
12395,21,512,11,3602.11,19.791813186813187,122,1,0
12396,583,583,1,931.43,14.329692307692307,65,1,1
12397,44,44,1,1214.81,17.35442857142857,70,1,0
12399,28,554,7,1962.3,17.83909090909091,67,1,1
12400,323,323,1,205.25,18.65909090909091,11,1,1
